sample_id,GSM,title,cell_type,hours,guide,donor,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
CART0077_RNAseq_NgsRun1_011,"""GSM8252556""","""CD8, 0h, SafeHarbor, CART0077_D3""",CD8,0,SafeHarbor,CART0077_D3,-34.24528249514775,-32.642086411919514,-26.168246147627826,-5.114997270625936,2.575815621532193,15.104771975017954,-4.845495716136827,-3.2240999821525502,5.385745874328461,-0.7843160101081685,-1.5949976976542621,7.0101383039680005,-0.8992205485891965,-0.46145717368044165,-3.917901901989758,2.5282441452693583,3.5140710284253163,-1.596040206105292,0.5529494265604742,2.0634062722532174
CART0077_RNAseq_NgsRun1_012,"""GSM8252557""","""CD8, 0h, RHOG, CART0077_D3""",CD8,0,RHOG,CART0077_D3,-34.77258510874342,-33.16414994323112,-26.533481293278605,-5.580488631350562,2.146724779793506,15.306014397382507,-4.816440387090093,-2.8721983532929527,4.656893547429375,-0.11828624654031714,-2.0414633611751967,7.486343803940868,-0.9392187056735029,-0.45748805671757053,-3.5000011823992194,2.2610799434083257,2.288107764952308,-1.5986548559405602,-0.5888386054883461,1.8846378698735526
CART0077_RNAseq_NgsRun1_013,"""GSM8252558""","""CD4, 24h, SafeHarbor, CART0077_D1""",CD4,24,SafeHarbor,CART0077_D1,65.26082679788591,-14.600114796275284,4.6818183588072,-9.066668346679357,0.8095594767708063,-12.669619704017075,-8.509831612748265,-6.468936445219691,-2.0235426627349153,0.40002023426683836,-1.158227075510517,-1.868772620735427,1.4339094632664524,5.9674905716152065,-1.2427640820786114,1.4133604799093074,0.8246524621532463,-3.6187411208496623,3.6964771079611336,-1.6627658428736871
CART0077_RNAseq_NgsRun1_014,"""GSM8252559""","""CD4, 24h, RHOG, CART0077_D1""",CD4,24,RHOG,CART0077_D1,71.64419880372088,-15.509440702806753,8.345246823673593,-11.024881130937315,0.8745973364016794,-9.197864979911328,-5.135605412895127,-0.8466448800873537,-0.414365120393082,2.323138016630722,-1.5455058858596071,-0.29645699887376786,3.4562163519972215,4.525314064230916,-0.8197219867658808,-1.1487126754915045,0.45445210633158417,-4.811772795317463,-0.0012972575857422366,-3.059645804705424
CART0077_RNAseq_NgsRun1_015,"""GSM8252560""","""CD4, 24h, SafeHarbor, CART0077_D2""",CD4,24,SafeHarbor,CART0077_D2,67.92204138156873,-15.002882279080943,5.600901235965982,-7.215866826860229,-0.22992908859428374,-8.16080891426087,5.866854858054212,-4.632861378038628,-0.04587641479758505,-0.8541665906081216,1.1398631980162637,-4.233023505227195,-4.327019693877937,-2.954870962981585,0.5889399992658203,5.5306937718811895,1.024651332541085,-5.13506715006025,1.1660938408605317,2.3016268627321863
CART0077_RNAseq_NgsRun1_016,"""GSM8252561""","""CD4, 24h, RHOG, CART0077_D2""",CD4,24,RHOG,CART0077_D2,74.73636745537316,-15.166905308374762,9.521343403207101,-11.497296834724542,-1.041758293657701,-5.762167453035478,6.404957044090294,0.09211686176875489,1.4031745927504915,3.6154888844059565,4.279699630759293,-0.3021180910969768,-0.5492015185976103,-2.587529223865256,0.005089884087198944,0.3702023783531844,-0.11820636034366264,-5.418902567633369,-4.200965876585998,-0.5007405584742429
CART0077_RNAseq_NgsRun1_017,"""GSM8252562""","""CD4, 24h, SafeHarbor, CART0077_D3""",CD4,24,SafeHarbor,CART0077_D3,73.7558170479366,-16.198046297450823,9.376955173870211,-14.182398625565693,-4.084040967929204,4.885548903310517,-1.8463881676307885,-5.176238511490401,1.4918515067899563,3.1194148411984908,4.092927822071924,-0.9050355678754209,2.8775942996432233,-4.096754211650045,-1.0819702365122197,0.12589357995825304,0.3196617750250346,-0.30328787672782453,3.0402375036928713,-1.086074615468702
CART0077_RNAseq_NgsRun1_018,"""GSM8252563""","""CD4, 24h, RHOG, CART0077_D3""",CD4,24,RHOG,CART0077_D3,77.18603190097596,-15.835050686338107,9.573904907280594,-14.917609099326937,-4.891898377241732,6.272218036659206,0.5939634756196482,-1.5338317981326468,1.5657831126400814,4.13637547972236,6.496893468850042,1.3734991207836345,4.092402357827745,-8.269908355697043,1.2965342520336327,-3.168962827692097,-0.2647191664338281,-2.3443160635175486,3.7756715104391056,-3.5478765999138404
CART0077_RNAseq_NgsRun1_019,"""GSM8252564""","""CD8, 24h, SafeHarbor, CART0077_D1""",CD8,24,SafeHarbor,CART0077_D1,70.01551462880775,-14.839822292595846,5.249778822177905,-9.271064184805903,8.961578906747464,-8.629582142059427,-8.192491464003675,-1.9549431358044516,-2.307719934870988,-4.089540522002317,-5.320608044044568,-0.1264694627901892,-0.9232176474973431,7.069909032907177,-0.1710350591027371,0.24587539407034184,0.2633777376603887,3.2115037212505073,2.011341306568935,0.25121188282510204
CART0077_RNAseq_NgsRun1_020,"""GSM8252565""","""CD8, 24h, RHOG, CART0077_D1""",CD8,24,RHOG,CART0077_D1,69.88421543906904,-15.129460390086122,5.235295118999817,-10.190508176900595,7.9171249372299854,-9.102527581201434,-8.459831166329797,-2.0239399648759036,-2.2520083190881373,-1.871444334407906,-4.935184760071802,1.0937720950696945,0.9969415274371205,7.865817016787357,0.043796546528280696,-1.7990490642211499,0.9234762101122326,0.8413994308998596,-0.08028418410228465,-1.2118746046444384
