,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,quadrant_PC1_PC2,GSM,title,cell_type,hours,guide,donor,effector_score,reg_score,d_eff,d_reg,dt,step_distance,speed_per_hour,angle_rad,PC_quadrant
CART0077_RNAseq_NgsRun1_030,43.46488227529805,19.340976050982704,-3.570845840304439,14.369563314008497,-15.517663013217703,17.22372647645395,1.5626891386684405,7.783483429514382,2.329116718511949,5.849045001092789,9.046289223887632,-1.7599128190662752,4.88675669785325,6.772068670580955,2.8815846936999776,1.645419013896939,-2.513375759772873,1.0233746697556627,1.7730058157099096,0.531271673590749,Q1,"""GSM8252575""","""CD4, 72h, RHOG, CART0077_D3""",CD4,72.0,RHOG,CART0077_D3,0.1320025024928275,0.38361137187188804,-0.6234250144923971,0.5417371519594771,48.0,0.8259163943814235,0.01720659154961299,2.4261885394890568,Q2: Eff- / Reg+
CART0077_RNAseq_NgsRun1_031,20.849855842299352,20.49900696359421,-16.961056592695545,23.904063441504697,5.9460473320339595,-9.06955435982487,-13.490273504617967,-7.901716378136491,-4.718113076281602,-5.297329640264775,-5.003013073424522,0.6678965453171288,0.1322026231757101,-4.323022783546004,0.4067196144312623,-2.0090004880415475,-0.6884908513414375,2.502874517938388,2.2728767337063944,-2.9250809617424136,Q1,"""GSM8252576""","""CD8, 72h, SafeHarbor, CART0077_D1""",CD8,72.0,SafeHarbor,CART0077_D1,0.8717004440742204,-0.011644511544758419,0.7199781328392216,-0.30717444960186746,0.0,0.7827673053052625,,-0.4032624221867551,Q4: Eff+ / Reg-
CART0077_RNAseq_NgsRun1_032,39.25297269122727,16.8512174045771,-10.54201917209817,24.28909023063761,3.775115587950265,-1.8228376468783136,-7.854059725928757,6.684866248426827,-3.7560036138170743,-1.9338061187808249,-5.043404728320983,2.9747750521903233,2.118005948740981,0.1331572011844521,2.221787157165592,-1.488007540690791,2.6716990228028132,-2.1471912396373916,2.39630327454026,-5.108496723247312,Q1,"""GSM8252577""","""CD8, 72h, RHOG, CART0077_D1""",CD8,72.0,RHOG,CART0077_D1,0.810894969939573,-0.12174886122056598,0.6174935477210493,-0.3233041447636614,0.0,0.6970106537912389,,-0.48232919684822423,Q4: Eff+ / Reg-
CART0077_RNAseq_NgsRun1_033,31.87191074593951,17.24819145079286,-11.937132182849147,23.02838204140009,5.882737967383136,-0.9481209287200052,9.040605762802503,-1.3481262728255312,-3.8340437855069185,-6.288247313271983,-4.541919234429763,0.5395438714863117,-8.140909572620824,-5.082314707685263,-1.6916621644123058,-1.0375304393347669,-1.2669222173159012,-2.400672663174539,4.49851888155543,-1.0189538631285702,Q1,"""GSM8252578""","""CD8, 72h, SafeHarbor, CART0077_D2""",CD8,72.0,SafeHarbor,CART0077_D2,0.868174792714002,0.09280403559811776,0.7855091183836148,-0.1761160810004048,0.0,0.8050102167368716,,-0.22055884436870288,Q4: Eff+ / Reg-
CART0077_RNAseq_NgsRun1_034,51.51730576069542,13.563949307248077,-3.078547384102867,19.800280101369243,3.430990312951475,6.88416465952282,12.352621072234182,16.588634257036833,-1.693991112714718,-1.1265038209531444,-3.087861753152614,2.3091535236542304,-3.192808240969629,-0.2775959394958653,0.5410623927593959,-2.3944643670878594,3.833822803101977,-5.080665293296671,-2.6195218308166432,-0.8671509275957843,Q1,"""GSM8252579""","""CD8, 72h, RHOG, CART0077_D2""",CD8,72.0,RHOG,CART0077_D2,0.77446492881801,-0.11696144597814447,0.5594124301728247,-0.20843022612486778,0.0,0.5969802561176785,,-0.35665415725028476,Q1: Eff+ / Reg+
CART0077_RNAseq_NgsRun1_035,51.00040059918505,15.905601195501102,-1.0136828258970765,17.933574015722094,-0.2008422470685947,22.930615605099913,3.563321776801052,14.019551050827204,0.4737642227163845,-1.1323816711565344,-5.490569595845916,-1.8784884829851156,1.797554047838677,1.7067932986851584,-1.389202130480183,0.1747497715640111,-1.9614911713127696,3.6156316482079487,2.034914147142876,0.8585900933065103,Q1,"""GSM8252580""","""CD8, 72h, SafeHarbor, CART0077_D3""",CD8,72.0,SafeHarbor,CART0077_D3,0.8353619421737832,0.26434565121306985,0.625550851990796,-0.23864319544472223,0.0,0.6695255358524262,,-0.3644508708463605,Q2: Eff- / Reg+
CART0077_RNAseq_NgsRun1_036,52.07092937725087,14.956705178575024,-0.8270828049939836,14.678314549106672,-0.3072207182868229,24.742177269207804,5.256400678107402,18.86808846680164,2.4667341427720166,0.9905462650180552,-5.190826359381757,-2.174521399308403,3.8511642002219832,-0.0730091513318736,-1.4003199345214044,0.7335709429721313,4.563151841551659,-0.2238111703717601,-3.1459763610526945,1.908158937856014,Q1,"""GSM8252581""","""CD8, 72h, RHOG, CART0077_D3""",CD8,72.0,RHOG,CART0077_D3,0.7436238362819271,0.1699084420044728,0.6116213337890996,-0.21370292986741524,0.0,0.6478808518391901,,-0.3361437475547141,Q2: Eff- / Reg+
CART0077_RNAseq_NgsRun1_037,-28.4663244515126,40.46526183270749,5.812718530874339,-13.82371120334574,-10.992816842074824,-12.307156393158916,-6.587736261527396,8.469724066007519,7.169677512206097,4.915796906589815,-3.935291710011133,2.884382023839621,-1.211296270256865,-1.5070616662693368,1.314531778174568,6.294485924295109,1.6707311718539428,0.5258371023902502,0.9796035238656882,-1.4243711181446774,Q2,"""GSM8252582""","""CD4, 168h, SafeHarbor, CART0077_D1""",CD4,168.0,SafeHarbor,CART0077_D1,-1.1101963763585307,0.048308892174734816,-1.9818968204327512,0.05995340371949323,96.0,1.9828034238065562,0.020654202331318292,3.1113513587486263,Q3: Eff- / Reg-
CART0077_RNAseq_NgsRun1_038,-26.90620396793977,41.81420751357344,4.822000381694211,-15.058789718725402,-11.481771073617894,-12.325104975917371,-7.277277326796935,8.718325969923704,6.247803242607892,5.184141916441805,-4.202564587289062,4.715729941449295,-1.723416572538545,-1.1222044681023968,4.742717213429446,2.0787778283014955,1.2710222469384351,-1.043499122058877,0.0905454823839377,1.9428817818800377,Q2,"""GSM8252583""","""CD4, 168h, RHOG, CART0077_D1""",CD4,168.0,RHOG,CART0077_D1,-0.9878588971185694,0.025384145293805838,-1.7987538670581424,0.14713300651437183,96.0,1.8047613681211652,0.01879959758459547,3.059977166659046,Q3: Eff- / Reg-
CART0077_RNAseq_NgsRun1_039,-29.97116132347853,38.332398541940776,2.412124804072477,-13.068599374927114,-8.03492127223858,-8.98877065828739,15.081468725170277,-2.2804890960720443,3.4406083220965127,4.780556827146658,-2.9841126908534257,0.2522957973206718,-1.55525687799178,0.5884334768651867,-8.581861746652647,1.6901300003022053,0.5946406416589032,2.312500264094838,1.072004338629186,-6.05927089830528,Q2,"""GSM8252584""","""CD4, 168h, SafeHarbor, CART0077_D2""",CD4,168.0,SafeHarbor,CART0077_D2,-1.13317205837652,-0.4031674348436038,-2.001346851090522,-0.4959714704417215,96.0,2.0618867373990435,0.021477986847906704,-2.898667890907281,Q3: Eff- / Reg-
